audit_source	module_name	specificity_class	biological_theme	theme_reason	dr_v16b_claim_status	dr_resid_t2d_bmi_v16b_claim_status	t2d_v16b_claim_status	bmi_v16b_claim_status	dr_ripple_d_v16_z	dr_resid_t2d_bmi_ripple_d_v16_z	t2d_ripple_d_v16_z	bmi_ripple_d_v16_z	dr_ripple_d_v16_empirical_p	dr_resid_t2d_bmi_ripple_d_v16_empirical_p	dr_ripple_d_q_full_library	dr_module_specific_rank_q_full_library	dr_n_loci	dr_n_effective_loci	dr_top1_gene	dr_top1_locus_contribution	dr_top5_locus_contribution	n_extreme_score_ge5	n_upper_tail_score_ge3	n_moderate_score_1_to_3	diabetes_prior_gene_overlap_n	diabetes_prior_gene_overlap	dr_microvascular_prior_gene_overlap_n	dr_microvascular_prior_gene_overlap	top10_module_genes_by_score
dr_mvp_v16b_high8_n5000_specificity	GENE_ONTOLOGY_GO_BIOLOGICAL_PROCESS_GO_1902410_MITOTIC_CYTOKINETIC_PROCESS	DR_high_but_residual_weakened	generic_proliferation_or_genome_maintenance	cell-cycle/DNA-repair keyword	high_confidence_diagnostic_candidate	exploratory_locus_distributed_candidate	negative	negative	1.8120714529138533	1.5717493434041736	1.4131420318293588	-0.0160994072997228	0.0081983603279344	0.0327934413117376	0.0109311471039125	0.0215956808638272	26	10.77533602474761	MTMR3	0.1307507729632414	0.5752112626405411	1	3	8	0		0		MTMR3:6.19;RHOA:3.22;CHMP4B:3.04;IST1:2.21;PDCD6IP:1.98;CHMP4A:1.71;CHMP2A:1.66;MITD1:1.63;ARF1:1.42;KLHDC8B:1.08
dr_mvp_v16b_high8_n5000_specificity	REACTOME_REACTOME_PATHWAY_R_HSA_9029569_NR1H3_NR1H2_REGULATE_GENE_EXPRESSION_LINKED_TO_CHOLESTEROL_TRANSPORT_AND_EFFLUX	DR_high_but_residual_weakened	diabetes_or_metabolic	metabolic/diabetes keyword	high_confidence_diagnostic_candidate	negative	negative	negative	1.4402033456036836	1.3573301311602466	0.3394694988249291	1.4008200618161395	0.0425914817036592	0.0587882423515296	0.0425914817036592	0.0301939612077584	28	11.985831785585042	TNRC6B	0.1071323822856048	0.5313737266613177	2	4	9	0		1	APOE	TNRC6B:7.01;EP300:5.33;KDM1A:4.62;KDM4A:3.38;MOV10:2.97;NCOR1:2.91;RXRA:2.21;ABCG1:2.11;AGO3:1.84;TNRC6A:1.73
dr_mvp_v16b_high8_n5000_specificity	REACTOME_REACTOME_PATHWAY_R_HSA_9659787_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS	DR_high_cross_trait_shared_or_generic	generic_proliferation_or_genome_maintenance	cell-cycle/DNA-repair keyword	high_confidence_diagnostic_candidate	negative	multi_strong_locus_pathway_overlap	negative	2.054299470856005	1.020408817531968	3.805029646046808	0.6714760773613753	0.0065986802639472	0.133373325334933	0.0105578884223155	0.0090648536959274	16	8.795721289080547	CCND2	0.1469562844697248	0.6596323283541738	1	3	7	1	CCND2	0		CCND2:5.62;E2F3:4.28;CCND1:3.76;CDK6:2.38;CCND3:2.09;TFDP1:2.08;E2F2:1.51;CCNE2:1.16;E2F1:1.12;CDKN1B:1.07
dr_mvp_v16b_high8_n5000_specificity	GENE_ONTOLOGY_GO_BIOLOGICAL_PROCESS_GO_1903232_MELANOSOME_ASSEMBLY	DR_residual_only_candidate	retinal_rpe_pigment_plausible	melanosome/RPE pigment biology keyword	exploratory_locus_distributed_candidate	high_confidence_diagnostic_candidate	negative	negative	2.290392626547793	3.326434538100909	-1.0809796244469798	-1.775395690567321	0.0053989202159568	0.0001999600079984	0.0105578884223155	0.007998400319936	18	9.727294692305724	AP3S2	0.1375254966087032	0.6279478836324464	3	3	6	0		0		AP3S2:14.4;AP3M1:7.14;AP3B1:5.94;AP1G1:2.56;HPS4:2.14;HPS5:2.05;AP1S1:1.72;HPS6:1.13;HPS1:1.06;AP3D1:0.748
dr_mvp_v16b_high8_n5000_specificity	REACTOME_REACTOME_PATHWAY_R_HSA_2559585_ONCOGENE_INDUCED_SENESCENCE	DR_residual_supported_but_cross_trait_shared	generic_proliferation_or_genome_maintenance	cell-cycle/DNA-repair keyword	high_confidence_diagnostic_candidate	high_confidence_diagnostic_candidate	high_confidence_diagnostic_candidate	multi_strong_locus_pathway_overlap	2.168421870617714	1.6223857208864312	2.213073961035285	2.741849607560208	0.001999600079984	0.0267946410717856	0.0105578884223155	0.0015996800639872	27	16.238360807027767	MDM4	0.078374572876769	0.3911844059357362	2	4	15	2	CDKN2A,CDKN2B	0		MDM4:7.12;TNRC6B:7.01;E2F3:4.28;CDKN2B:3.19;MOV10:2.97;ETS1:2.94;CDK6:2.38;CDKN2C:2.31;TFDP1:2.08;CDKN2A:1.98
dr_mvp_v16b_high8_n5000_specificity	GENE_ONTOLOGY_GO_BIOLOGICAL_PROCESS_GO_0030150_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX	not_DR_high_after_refinement	generic_cellular_process	no direct DR/diabetes keyword	exploratory_locus_distributed_candidate	exploratory_locus_distributed_candidate	multi_strong_locus_pathway_overlap	negative	2.2250378819519043	1.871401443129343	2.280921741399748	1.3116279052896975	0.0027994401119776	0.0127974405118976	0.0105578884223155	0.0195960807838432	22	9.547983055576244	SAMM50	0.1499252613695335	0.641034662702468	1	2	7	0		0		SAMM50:10.2;TOMM40:4.64;DNLZ:2.9;HSPA4:2.38;TOMM20:1.55;TOMM7:1.36;TIMM50:1.26;DNAJC19:1.11;TIMM17A:1;GRPEL2:0.876
dr_mvp_v16b_high8_n5000_specificity	GENE_ONTOLOGY_GO_BIOLOGICAL_PROCESS_GO_0007094_MITOTIC_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING	not_DR_high_after_refinement	generic_proliferation_or_genome_maintenance	cell-cycle/DNA-repair keyword	exploratory_locus_distributed_candidate	negative	exploratory_locus_distributed_candidate	negative	2.060046769895032	1.3343767641040627	2.061352445824661	-1.3935356284432583	0.0057988402319536	0.0785842831433713	0.0105578884223155	0.0215956808638272	27	11.07608481963034	CENPF	0.1234092148887203	0.5595379223541045	0	2	8	0		0		CENPF:4.68;SPC25:3.43;MAD1L1:2.72;BUB3:2.48;KLHL22:2.4;ZWILCH:2.04;ZNF207:1.86;IK:1.84;SPDL1:1.54;CDC20:1.34
dr_mvp_v16b_high8_n5000_specificity	GENE_ONTOLOGY_GO_BIOLOGICAL_PROCESS_GO_0140861_DNA_REPAIR_DEPENDENT_CHROMATIN_REMODELING	not_DR_high_after_refinement	generic_proliferation_or_genome_maintenance	cell-cycle/DNA-repair keyword	exploratory_locus_distributed_candidate	exploratory_locus_distributed_candidate	negative	negative	1.8007094981402132	1.7935685198747648	-0.3753699754931766	0.4878112051091266	0.0177964407118576	0.0203959208158368	0.0203387893849801	0.0281086639814894	20	9.09481076503039	EP300	0.148450021603937	0.6549404514134691	1	3	6	0		0		EP300:5.33;KDM1A:4.62;TRIP12:3.98;CTPS1:2.12;KAT5:2.11;UIMC1:1.74;APLF:1.44;USP3:1.31;UBR5:1.15;SIRT6:0.737
